"country","year","democ","autoc","polity","polity2","durable","exrec","exconst","polcomp","countrycode","rgdpe","rgdpna","pop","cpt.succ.n","cpt.fail.n","scoup1","atcoup2","pcoup3","apcoup4","agcoup","foroutex","reboutex","assassex","resignex","gdppc","trade","fcf","govfce","inflation","population","sec.enrr","oda","energy.gni","inttot","civtot","uds.mean"
"Bosnia",1995,-66,-66,-66,NA,0,-66,-66,-66,"BIH",5632.80615234375,6165.77197265625,3.332098,0,0,0,0,0,0,0,0,0,0,0,1793.16853029352,91.8796126648453,12.26847306137,NA,NA,3879278,NA,59.4494687205275,1.27047923698038,0,6,-0.913046287705891
"Bosnia",1996,-66,-66,-66,NA,0,-66,-66,-66,"BIH",8274.37109375,9507.5771484375,3.305672,0,0,0,0,0,0,0,0,0,0,0,3449.35249183981,107.500043530726,34.0352672822349,NA,NA,3810649,NA,33.2213308137019,0,0,0,0.0154458820509637
"Bosnia",1997,-66,-66,-66,NA,0,-66,-66,-66,"BIH",12150.3759765625,12991.2607421875,3.365616,0,0,0,0,0,0,0,0,0,0,0,4673.95505108249,100.630964756317,34.216556884342,NA,NA,3779354,NA,25.0318212677468,0,0,0,0.0152123047527301
"Bosnia",1998,-66,-66,-66,NA,0,-66,-66,-66,"BIH",16159.7314453125,15149.9365234375,3.480285,0,0,0,0,0,0,0,0,0,0,0,5408.03720540064,125.666609057011,32.566671673001,NA,NA,3775898,NA,18.5743697207657,0,0,0,-0.0381425961933539
"Bosnia",1999,-66,-66,-66,NA,0,-66,-66,-66,"BIH",18396.927734375,16592.44921875,3.601438,0,0,0,0,0,0,0,0,0,0,0,5913.90994035303,121.820629357681,23.896779586116,NA,NA,3784389,NA,23.7591924338061,0,0,0,0.0187264579651205
"Bosnia",2000,-66,-66,-66,NA,0,-66,-66,-66,"BIH",18251.578125,17490.81640625,3.693698,0,0,0,0,0,0,0,0,0,0,0,6225.21085246966,104.19061090981,20.5512778670577,NA,NA,3792878,NA,12.1053914960485,0,0,0,0.17190011565611
"Bosnia",2001,-66,-66,-66,NA,0,-66,-66,-66,"BIH",18703.30078125,17904.755859375,3.74837,0,0,0,0,0,0,0,0,0,0,0,6487.37130231771,104.318949933442,19.0774400688134,NA,NA,3799747,NA,10.1802193767361,0,0,0,0.0939373527227951
"Bosnia",2002,-66,-66,-66,NA,0,-66,-66,-66,"BIH",19410.986328125,18809.837890625,3.775883,0,0,0,0,0,0,0,0,0,0,0,6815.77579481821,95.2767695073556,18.5598724514602,24.5062363398732,NA,3808347,NA,7.76231669285424,0,0,0,0.0995725742921661
"Bosnia",2003,-66,-66,-66,NA,0,-66,-66,-66,"BIH",19921.705078125,19536.8203125,3.782717,0,0,0,0,0,0,0,0,0,0,0,7071.75777565711,113.457846454851,18.8444828060471,24.2946030901236,NA,3817313,NA,6.08698034507452,0,0,0,0.0963260699465457
"Bosnia",2004,-66,-66,-66,NA,0,-66,-66,-66,"BIH",20417.712890625,20760.44921875,3.781358,0,0,0,0,0,0,0,0,0,0,0,7486.34944252518,109.74013133431,17.3579774044984,21.4999961358102,NA,3825872,NA,6.51723481635096,0.133382580709491,0,0,0.17097925286795
"Bosnia",2005,-66,-66,-66,NA,0,-66,-66,-66,"BIH",21562.76171875,22416.494140625,3.781001,0,0,0,0,0,0,0,0,0,0,0,7845.27726568159,106.287628203117,27.9295634676501,22.2422837290579,NA,3833377,NA,4.82359339047032,0,0,0,0.16784679666956
"Bosnia",2006,-66,-66,-66,NA,0,-66,-66,-66,"BIH",23901.580078125,23752.265625,3.781588,0,0,0,0,0,0,0,0,0,0,0,8320.55605356576,100.499934123706,23.1636791332826,21.4030035706076,6.12499999999996,3838504,NA,4.13365163744355,0,0,0,0.256842824280154
